fen,phase,eco
r1bqk2r/pppnbppp/3p1n2/4p3/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 1 6,opening,A55
2k2r1r/1Bpp1q2/1p2p1n1/3nP1P1/3P1p1P/2P3B1/1P1N1QP1/R4RK1 b - - 0 22,middlegame,
r5k1/5Npp/p7/1p6/8/6nq/PPK3R1/8 w - - 2 33,middlegame,
rnbq1rk1/ppppppbp/5np1/8/8/1P3NP1/PBPPPP1P/RN1QKB1R w KQ - 1 5,opening,A01
7k/p2n3p/1p1p3p/2pPp3/1P2P3/P2b1r2/5P2/1R2K2R b - - 1 30,middlegame,
8/p6p/5k2/4bp2/5P2/6P1/PP5P/7K b - - 0 39,endgame,
4rbk1/3B3p/4p3/q2N1pp1/3P4/1Q2P2P/1P3PP1/3R2K1 b - - 0 25,middlegame,
8/r1p3r1/p1R2p2/Pp1PNR1k/1P2P2P/6P1/8/6K1 b - - 2 37,middlegame,
5q1k/8/p4p1p/1p2P3/4K1Q1/4P1P1/7r/5b2 w - - 0 37,middlegame,
rn1qkbnr/pp2pppp/2p5/3p4/3P2b1/4PN2/PPP2PPP/RNBQKB1R w KQkq - 1 4,opening,D02
3r4/1k2bp2/2p2p2/p6P/P4B2/4PKP1/2p1q3/8 w - - 0 43,middlegame,
8/p7/8/4p3/8/3pk3/PP5P/4K3 b - - 1 53,endgame,
8/4N3/pB1Pq1pk/p1P1Q2p/7P/4R1P1/1P5K/8 b - - 0 45,middlegame,
rnbqkbnr/pp3ppp/2p1p3/8/2pP4/4PN2/PP3PPP/RNBQKB1R w KQkq - 0 5,opening,D21
1rk1qN2/2p3p1/p3p3/3pPp1B/bn1P1N1P/5R2/1PPQ1PP1/2KR4 b - - 0 24,middlegame,
r2q1rk1/nb4pp/pp6/4P3/1P1N1P2/P5P1/1B1NQ2P/R4RK1 b - - 0 23,middlegame,
r1bqkbnr/pp3ppp/2np4/2p1p3/4PP2/2NP4/PPP3PP/R1BQKBNR w KQkq - 1 5,opening,C20
7k/pp5r/2p1qpQB/3n1N2/3b4/8/P5rP/5R1K w - - 0 38,middlegame,
r1b1k2r/4np1p/2p1p1p1/2Np4/8/qBb1P1B1/1p3PPP/1R1Q1RK1 w kq - 2 20,middlegame,
8/2p1R3/p3Q3/P7/6P1/2k5/5KP1/8 w - - 1 44,middlegame,
8/7p/3bk1p1/8/5P2/4BKP1/7P/8 w - - 1 47,endgame,
8/R7/8/4N1pk/5P1p/7P/6PK/8 b - - 0 61,endgame,
7k/pp2RQ2/2p3rp/8/3P3P/2P5/PP1K1P2/8 w - - 1 44,middlegame,
6k1/5pp1/1p1r3p/3p4/1P6/7P/8/2R3K1 w - - 0 34,middlegame,
8/p1p4p/1p6/6pk/1PP2n1P/4RK2/6r1/8 w - - 2 44,middlegame,
8/3k1p2/2p1p3/1p1pPp2/pP3P2/P1P4K/8/8 b - - 0 34,endgame,
r1bqkbnr/pp2pppp/2np4/2p5/4P3/2N3P1/PPPP1P1P/R1BQKBNR w KQkq - 1 4,opening,B26
rnbqkb1r/ppp2ppp/3pp1n1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 3 5,opening,A04
1k2rr2/2p5/1pP5/p7/Pn1P2QP/4P1P1/5P2/1R4K1 b - - 2 37,middlegame,
8/1r5k/3R2pp/1P1P4/8/7P/5PP1/6K1 w - - 1 39,middlegame,
2r5/R1p3kp/5np1/4R3/2P5/BBn2P2/P1P2P1P/2Kr4 w - - 1 22,middlegame,
4r3/5ppk/5n1p/4pN2/4P1q1/b4P2/1p1NK3/1R2Q3 b - - 0 40,middlegame,
r6k/1Q4p1/7p/8/7P/8/1PP3P1/1K2R3 b - - 0 44,middlegame,
6K1/8/5k1P/p4p2/1pp5/8/P7/8 b - - 0 56,endgame,
r1b2rk1/pp1n1pp1/1b5p/3Q4/5pPq/1N3B2/P1P2P2/R3R1K1 w - - 0 19,middlegame,
8/7p/6p1/4K3/8/n5P1/5P1P/2k5 b - - 0 51,endgame,
8/2k5/3p3p/3Pb1p1/6q1/3K4/7P/8 w - - 0 45,middlegame,
rnbqk2r/ppp1p1bp/3p1np1/5p2/2PPP3/2N2P2/PP4PP/R1BQKBNR w KQkq - 1 6,opening,A42
8/5ppp/8/5k2/2K5/1r3PP1/7P/8 w - - 0 46,endgame,
r1b1kb1r/ppp3pp/2n2n2/1Q6/4p3/2B5/PqP2PPP/RN2K2R b KQkq - 1 13,middlegame,
rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,opening,E14
6k1/1p4p1/5r1p/pN1P4/P7/2P1PpPP/1P6/5R1K b - - 0 35,middlegame,
r7/pp3rk1/4p3/1bN5/3P1p2/2P5/1K1QNq2/8 w - - 2 40,middlegame,
rnbqk2r/ppp2ppp/3bpn2/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 1 5,opening,D02
r1k3r1/pp3R2/3p1Q2/2p4p/2P2pp1/7q/PP6/R1B3K1 b - - 1 27,middlegame,
8/1p2k3/4p1P1/P3K3/Pb1B1P2/3P4/8/8 b - - 0 47,endgame,
Bq3b1k/3b3r/5p1p/1p2pNpP/4Pn2/P3BN2/1P1Q1PP1/2RR2K1 w - - 1 31,middlegame,
r1bqkbnr/ppn1pppp/2pp4/8/3PP3/2NB4/PPP2PPP/R1BQK1NR w KQkq - 0 5,opening,B12
5rk1/2p1q1p1/r3Bp1p/p3Q3/Pp1PP3/8/1P3PPP/R1B2RK1 b - - 0 20,middlegame,
rnb1kbnr/pp3ppp/1qp1p3/3p4/3PP3/2NB4/PPP2PPP/R1BQK1NR w KQkq - 2 5,opening,C10
5Q2/6N1/8/3p2P1/1P1P2K1/PkP5/8/8 b - - 0 54,middlegame,
rnbqkb1r/pp2pppp/5n2/2p5/5P2/5N2/PPPPB1PP/RNBQK2R w KQkq - 4 6,opening,B21
8/8/2p2r2/1p1k4/3P3R/P1P1p2P/1P4P1/6K1 w - - 0 39,middlegame,
4rrk1/5pb1/1p4qp/pPp1p3/P1Ppn1P1/5Q1P/7B/4RRK1 w - - 0 28,middlegame,
8/pb4k1/1p4p1/6r1/3P1q1K/8/P7/3Q4 w - - 2 41,middlegame,
4r1k1/pR3ppp/4bBn1/3pP2Q/3p4/q1rB3P/6P1/5RK1 w - - 0 25,middlegame,
2Q2b1r/p2nqk1p/7n/1p2p3/4PNp1/1B6/PPP2PPP/RNB1K2R b KQ - 0 15,middlegame,
2r3k1/q2r2p1/b3p2p/p3Q3/Pp6/5R2/1P3bPP/1K5R w - - 0 30,middlegame,
2kr1b1r/ppp1pppp/4b3/2N5/1q2P3/5PP1/3PN2P/n1BQK2R b K - 1 14,middlegame,
r1bqkb1r/pp1pnppp/2n1p3/2p5/2P1P3/2NP4/PP3PPP/R1BQKBNR w KQkq - 2 5,opening,B20
3rr3/5p2/1p6/2p2k1p/P4Np1/1P1P2n1/6B1/2K5 w - - 0 38,middlegame,
r1b2rk1/p3pp1p/2p3p1/3p4/3P3q/1P3Qb1/PBPN4/R4R1K w - - 0 18,middlegame,
8/7p/kp4p1/pRp5/P7/KP1r2rP/1b6/3N4 w - - 0 39,middlegame,
8/1pp2p1p/5k2/2b5/8/1P4PB/5r1P/2n4K w - - 0 32,middlegame,
5bk1/p2Q1p1p/1p1Np1p1/4P3/3P4/4q3/P5K1/8 b - - 1 40,middlegame,
2kr3r/1pp2ppp/p2bpn2/4q3/8/2N1B1P1/PPP2Pb1/R3QRK1 w - - 0 16,middlegame,
r1b1kbnr/pppp1ppp/5q2/4p3/2B1P3/2P2Q2/PP1P1PPP/RNB1K2R w KQkq - 1 6,opening,C50
r1b3Q1/3pkp2/p4B2/1pp1p3/2N1P3/3P3B/PPP2P2/R5K1 b - - 0 23,middlegame,
2kr3r/2p1b3/1p1p1n2/p3p3/P1N5/1PBP4/2P2Qpq/R4K2 w - - 0 26,middlegame,
rnbqk2r/pp1pppbp/2p2np1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 1 5,opening,B06
1q2r3/5Q1p/6pk/3P4/2P5/1P3R2/r4PP1/3R2K1 w - - 1 30,middlegame,
8/5kp1/5b2/1p4r1/p3R3/P7/6KP/2r5 w - - 0 49,middlegame,
r7/3pkp2/2b1p1p1/1BP4p/1P2P3/r1NRKP2/P2R2PP/8 b - - 0 29,middlegame,
rnbqkbnr/pp2pppp/3p4/2p5/4P3/8/PPPPNPPP/RNBQKB1R w KQkq - 0 3,opening,B99
1rb1r1k1/3q1pP1/p3p2B/3p4/3P4/2N5/PP3PPP/R2QK2R b KQ - 0 17,middlegame,
8/7p/p1R5/5p1p/PP6/2k3P1/4K3/8 b - - 0 36,endgame,
rnbqkb1r/pp3ppp/4pn2/2pp2B1/3P4/2P2N2/PP2PPPP/RN1QKB1R w KQkq - 0 5,opening,D02
rnbqk2r/pp2ppbp/2pp1np1/8/3PP3/4BP2/PPP1N1PP/RN1QKB1R w KQkq - 2 6,opening,B07
1r6/1ppq1b1k/p4bBp/3P4/2P4N/P3B1PP/1PQ4K/4R3 b - - 0 30,middlegame,
r1bqk1nr/pp2ppbp/2np2p1/2p5/2B1PP2/P4N2/1PPP2PP/RNBQK2R w KQkq - 1 6,opening,B21
r1b2rk1/pp4pp/2p5/3p4/P2P1Pn1/1PK1p1P1/1B3q2/R2QR3 w - - 0 24,middlegame,
