fen,phase,eco
5r2/pp1bp1k1/3p2p1/3Pb1P1/8/qP1r4/P1PQ4/1K5R w - - 0 25,middlegame,
rnbqkb1r/ppp2ppp/5n2/4p3/4N3/5N2/PPPP1PPP/R1BQKB1R w KQkq - 1 5,opening,C27
3q1rk1/p1r2pp1/1p2p3/3PPnP1/5P2/3P3B/P2B3P/R3QRK1 b - - 0 24,middlegame,
rn1qk1nr/pbppppbp/1p4p1/8/3PP3/4B3/PPPQ1PPP/RN2KBNR w KQkq - 2 5,opening,B06
8/3bk3/pp1p4/4p1P1/P3P3/2r5/r7/2K1Q3 w - - 2 50,middlegame,
8/4k3/4Pp2/5P2/2K5/2Pp4/2r2P2/8 b - - 1 42,endgame,
r5k1/pp2Nppp/5n2/q5B1/4N3/4P3/PP2BPPP/1R1r1RK1 b - - 0 16,middlegame,
4k1nr/ppqn1bpp/2p2p2/4pPP1/2p1P2P/P1N1b3/1P2N1BK/2Q2R2 w k - 0 23,middlegame,
8/5r2/5p2/4p3/3kP1pp/2R5/6K1/8 w - - 0 51,middlegame,
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,opening,D77
r1bk4/pp2pp1p/2B3pb/8/8/8/PPPP1PPP/R1B1K1NR b KQ - 0 11,middlegame,
rnbqkbnr/pppp2pp/8/5p2/2PPp3/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,opening,A21
rnbqkb1r/ppp1pppp/n7/8/2PP4/P7/1P3PPP/RNBQKBNR w KQkq - 1 6,opening,B01
r1b4R/1pq2pk1/2p5/p1n1p1P1/2P5/P1N1PBB1/1PQ2PP1/2K5 b - - 0 20,middlegame,
2rqk2r/3b1pp1/4pn1p/8/1bpP1P1P/5NP1/2Q5/2KR3R w k - 0 26,middlegame,
r6r/pbk2ppp/1p2p3/2b5/3p1P2/8/PP1BqRPP/RN5K w - - 0 21,middlegame,
1r6/q1b1n1k1/2p1BNp1/p1Pp2P1/3P4/P1BQP3/1R5P/6K1 w - - 1 36,middlegame,
r2q1rk1/p4p1p/4b1pP/5p2/5Q2/3p1BN1/Pb4P1/R4RK1 w - - 0 26,middlegame,
r2qkbnr/pp2pppp/2n5/3p1b2/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 1 6,opening,B13
rnbqk1nr/pp2ppbp/2p3p1/3p2N1/2B1P3/8/PPPP1PPP/RNBQK2R w KQkq - 0 5,opening,B06
4R3/3k2pp/1n3b2/2p2N2/Pp6/1P1P3P/2P2PB1/1K6 b - - 0 24,middlegame,
rnbqkbnr/1pp2pp1/p2p3p/8/2BNP3/8/PPP2PPP/RNBQK2R w KQkq - 0 6,opening,C41
7n/2p2kb1/p7/1p1p2p1/3P4/2P5/PP4K1/8 b - - 1 35,middlegame,
rnbqk2r/p1ppbppp/1p2pn2/6B1/3P4/5N2/PPPNPPPP/R2QKB1R w KQkq - 0 5,opening,A46
8/R2p2r1/4p1pk/n1B1Pb2/3P1N1P/8/P2K1P2/6R1 b - - 0 31,middlegame,
4k2r/2qn2b1/1p1p1pp1/1B1np3/1B6/5Q2/1P4PP/5RK1 w k - 0 21,middlegame,
r1bqkbnr/pppppp1p/2n3p1/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,opening,B00
rn1qr1k1/5ppp/2p4b/8/pp1P1P2/P2b4/1P1QN2P/3R1KR1 w - - 0 24,middlegame,
r1bqk1nr/pp1pppbp/2n3p1/8/2PNP3/8/PP3PPP/RNBQKB1R w KQkq - 1 6,opening,B39
6k1/p1p5/5pbp/8/8/2P2P1P/PP6/2BRRK2 b - - 0 31,middlegame,
7R/p7/1p4p1/2p2k2/K1P5/3pBP1P/PP5P/8 b - - 0 40,middlegame,
4Q3/8/8/1R1P4/2K1k3/8/8/8 b - - 2 60,middlegame,
r3r1k1/ppp2p1p/3p2p1/6qb/3QP3/8/PPP2P2/R3RK2 w - - 0 22,middlegame,
4k3/6R1/8/2r3p1/4p3/PB5P/3K1PP1/8 b - - 0 37,middlegame,
4b3/2p3k1/p6p/1p2P2P/4P3/2P2B2/PP2K1P1/4R2r w - - 1 33,middlegame,
r4rk1/1p1n1p1p/p3p1p1/4P1Q1/P7/1qp3RP/5PP1/2R3K1 b - - 1 27,middlegame,
5rk1/6p1/4p3/3pPp2/2pq4/1p4BP/1P4R1/6K1 w - - 0 38,middlegame,
3r1rk1/p4p1p/1pB1p1p1/5b2/1B3P2/PP4P1/7P/b3K3 w - - 2 29,middlegame,
7k/3n2pp/pp2p3/1r1p4/5qP1/2PQ4/2K4P/2RR4 w - - 0 30,middlegame,
r1bqkbnr/ppp2ppp/2np4/4p3/4PP2/3P4/PPP3PP/RNBQKBNR w KQkq - 0 4,opening,C20
8/8/1p4kp/2p2Pp1/1b6/pK5P/8/2B5 b - - 0 44,endgame,
4r3/p7/4k2N/8/3p4/1P5P/P4P2/6RK w - - 1 38,middlegame,
5Qk1/p1q3bp/n1pp1np1/5p2/2NP1P2/2P1P3/PP4PP/R1B2RK1 b - - 0 15,middlegame,
r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/2N2P2/PPPPN1PP/R1BQKB1R w KQkq - 3 5,opening,C25
rnbqkb1r/pp3ppp/2pp1n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 5,opening,B07
r1bqk1nr/ppp1p1bp/2np2p1/5p2/3P4/4PN2/PPP1BPPP/RNBQ1RK1 w kq - 0 6,opening,A40
rn1qk1nr/pbp1ppbp/1p1p2p1/8/3PP3/2P5/PP2NPPP/R1BQKBNR w KQkq - 0 6,opening,B06
2r2b2/8/p2pkPpp/3R4/1BP5/1P3KP1/P6P/3R4 w - - 1 43,middlegame,
rnbq1rk1/ppp1bppp/3p1n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 w - - 1 6,opening,C41
8/5ppk/7p/1QB1Pq2/1P2pP2/4P2P/6PK/8 w - - 1 39,middlegame,
r2q1r2/1bppb1pk/1pn3Np/3pp3/3P4/P7/1BQ2PPP/R4RK1 w - - 0 18,middlegame,
q3k2r/1p1bbp1p/p4p2/5p2/8/1Q6/PP3PPP/4R1K1 w - - 0 26,middlegame,
5r2/1p5k/1Pp3pp/2q1b3/1pp4N/4P1P1/2Q4P/r3R1K1 b - - 1 28,middlegame,
8/2n2K1p/4n3/7k/8/8/8/1q6 w - - 0 50,middlegame,
rnbqkb1r/ppp2ppp/4p3/3n4/3P4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 5,opening,D35
5n2/2k5/4p1p1/7p/5P2/5B1P/2p3P1/4K3 w - - 0 44,endgame,
rnbqk2r/pppp1ppp/4pn2/8/1b1P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 2 4,opening,A46
8/8/8/6p1/Pk1p2r1/3K4/3R4/8 b - - 1 59,endgame,
r2qkb1r/pp2pppp/2n2n2/8/6b1/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 2 6,opening,B02
r2qkbnr/ppp1pppp/2n5/3p1b2/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq - 1 4,opening,D02
2k5/6p1/3Bp2p/4Pp2/p1K2P2/6P1/P6P/8 b - - 1 43,endgame,
rnbqk2r/ppppppbp/6p1/6B1/2PPn3/5N2/PP2PPPP/RN1QKB1R w KQkq - 4 5,opening,E60
r5k1/1b6/p3r1q1/1p4Np/8/bPP2P2/K5Q1/8 w - - 0 40,middlegame,
rr2kn2/p6p/3pBR2/8/2PPP2p/7P/P4PP1/3R2K1 w - - 1 26,middlegame,
8/8/p2b2p1/3k3p/P2B1P2/3K2PP/8/8 w - - 1 45,endgame,
6k1/5pp1/7p/1R2n3/4P3/PPR2P2/6PP/3r2K1 w - - 1 30,middlegame,
3r2k1/ppp2pp1/1r5p/5P2/2B1PK2/2q5/P5Q1/6R1 b - - 1 28,middlegame,
rnbqk2r/ppp1bppp/3ppn2/8/3P4/1P2PN2/P1P2PPP/RNBQKB1R w KQkq - 1 5,opening,A46
r4rk1/3npp2/2p2np1/3P3p/1pB2b2/pP1Q1PNP/2P3PK/Bq6 b - - 0 26,middlegame,
r2r2k1/1pq2p1p/2n1pQ2/2P5/bPB5/P3PN2/5PPP/1R3RK1 b - - 0 18,middlegame,
R7/1p3kpp/2p2p2/4p3/1p1r4/1n2N2P/1P3PP1/6K1 w - - 2 32,middlegame,
rnbqkb1r/ppp2ppp/5n2/3P4/4p3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 5,opening,C42
8/6pk/8/3p4/7R/4K2P/6r1/8 b - - 1 38,endgame,
8/6Rp/4p3/1B2k3/P7/6P1/5PKP/1r6 b - - 0 37,middlegame,
8/8/R4Qk1/7p/6p1/8/5PPP/6K1 b - - 0 39,middlegame,
8/8/8/2knPNp1/2p5/6P1/4K1P1/8 b - - 0 46,endgame,
3r2k1/R6R/3qp1p1/2n5/8/4PN1P/5PP1/5NK1 w - - 1 34,middlegame,
r2q1r2/pb3pk1/2p5/6b1/2PPP3/2N5/PPQ3PP/1K3B1R b - - 2 19,middlegame,
7k/p5bp/1p4p1/P1pQ4/3p4/1P2q1P1/6BP/5r1K w - - 0 30,middlegame,
6k1/1B1n3p/p2Pnbp1/P1p1p3/2P5/3RB1P1/1P3P1P/R5K1 b - - 0 26,middlegame,
8/5pp1/4p2p/8/6P1/3p1P1P/k1bK4/8 b - - 0 49,endgame,
rnbqkb1r/pppp1p1p/4pnp1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,opening,E20
r6B/p1p1nk1p/b1p3p1/8/8/1P2P3/P1P2PPP/RN2K2R w KQ - 1 15,middlegame,
r6r/ppp1qpk1/2nbbN2/4p1PR/8/1P1P2P1/PBP2PB1/R2QK1N1 b Q - 2 14,middlegame,
rn1qk2r/p1p1n3/1p1pp1pb/4Pp2/3P1P2/2N1B3/PPPQb2P/2KR4 w kq - 0 14,middlegame,
rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,opening,A85
6k1/p4ppp/Bp6/2p5/2P5/6P1/KBP4n/4r3 b - - 1 31,middlegame,
8/pBr5/2P2kpp/2Pp1p2/3P1P2/2P2P2/3n2PP/4R1K1 b - - 2 31,middlegame,
rnbqkb1r/pp3ppp/5n2/2pp4/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 6,opening,D32
8/Rp1n1pb1/6kp/2pP2p1/8/1P3QB1/P4PPP/R5K1 w - - 1 31,middlegame,
5rk1/5pp1/5n1p/p7/1q1Rp3/4Q2P/4rPP1/5RK1 w - - 0 29,middlegame,
r1b2rk1/pp2p1bp/3q2p1/3p2P1/3B4/N1P3nP/Pn1K2BR/R5N1 w - - 2 18,middlegame,
rnbqkb1r/pp3ppp/4pn2/2pp4/8/1P2PN2/PBPP1PPP/RN1QKB1R w KQkq - 0 5,opening,A06
5r2/5p2/R2Pk1pP/1p6/1P5P/8/P1P5/1K6 b - - 0 38,middlegame,
5Bk1/r4ppp/B1b5/1p2b3/4P2P/1PP2P2/1K4P1/3R3R b - - 0 28,middlegame,
8/pp4k1/2pB2p1/2b2p2/5P2/1P3NK1/2r5/8 w - - 0 39,middlegame,
r1b2rk1/2p3pp/2nbp3/1p1pN3/1q2p3/1K1B4/1BPN2PP/R2QR3 w - - 0 19,middlegame,
2r3k1/pp2ppbp/3p2p1/7b/3Bn3/2P2N2/PKP1B3/3R3R w - - 0 20,middlegame,
6k1/q4p2/R5p1/1P1pP2p/3P1P2/6PP/1PQ4K/r7 b - - 2 41,middlegame,
rn1qkb1r/pp2pppp/2p2n2/5b2/2pP1B2/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,opening,D15
rnbqk2r/ppp1ppbp/6p1/3n4/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 6,opening,D85
rnbqk2r/ppp1bppp/5n2/3p4/3P4/2N3P1/PP2PP1P/R1BQKBNR w KQkq - 1 6,opening,A13
8/8/8/p1R1bk2/3p4/P2P3P/6K1/8 w - - 1 42,endgame,
5r2/1kp5/1p6/P2N4/2P2B2/r7/5P1P/4R1K1 b - - 0 38,middlegame,
6k1/pb3ppp/1p2p2q/2p1P3/P7/2Pr2R1/2K2P1P/6R1 w - - 0 30,middlegame,
rnb1kbnr/ppp2ppp/8/3qp3/8/5P2/PPPP2PP/RNBQKBNR w KQkq - 0 4,opening,C20
Q4k1r/p2R3p/4pNqp/4P3/1p6/7P/PPP3P1/2K4R b - - 0 30,middlegame,
8/4R3/p5k1/1p1p4/3B1KP1/5P2/PP6/8 b - - 0 43,middlegame,
3rr3/2p2pk1/1Q1p3p/3R1P2/8/2P4P/PP4P1/3R3K b - - 0 31,middlegame,
2k5/1pp1qp2/p7/r1p1pR2/4P1p1/2NPK1P1/1PP4r/8 w - - 0 28,middlegame,
r1bqkbnr/pp1n1ppp/3p4/1BpPp3/4P3/8/PPP2PPP/RNBQK1NR w KQkq - 2 5,opening,A44
r4rk1/1p1qRppp/p2P1n2/8/3Q4/8/PPP2PPP/RNB3K1 b - - 0 15,middlegame,
2kr3r/pbpq3p/1p2p1p1/2b1n3/4B1P1/2N1p2Q/PPP4P/R1B4K w - - 0 19,middlegame,
rnbqkbnr/ppp2ppp/4p3/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,opening,C10
r2qkbnr/pppb1ppp/2n5/4p3/3p4/1P2P1P1/PBPP1PBP/RN1QK1NR w KQkq - 1 6,opening,A01
5bk1/5r1p/4R1p1/2p1P3/2p2P2/2Pr1N2/P2B2PP/1R4K1 b - - 2 23,middlegame,
1r6/6kp/4R1p1/1p3p2/p1BP4/P1P2P2/1P3KPP/8 b - - 0 34,middlegame,
r4rk1/1p3pbp/p1np2p1/4pb2/1NP4B/4P3/4BPPP/1q1Q1RK1 w - - 0 19,middlegame,
rnbqk2r/ppp1bppp/4pn2/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 1 5,opening,D02
8/p3k2p/1p4p1/4pp2/P2p2PP/1P1K4/5P2/8 w - - 0 38,endgame,
r5k1/1p3ppp/p7/1p2p3/P7/5P1P/3r1P2/R1R3K1 w - - 0 30,middlegame,
8/7p/p4Qpk/3B4/P3P3/1P4P1/2q2PKP/8 b - - 0 35,middlegame,
rnbqkbnr/ppppp1pp/8/8/4p3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,opening,A04
1k1r3r/p1q1n3/1p2n1p1/2p1bpPp/3pbP1P/8/PPP1NQB1/1K1R3R w - - 0 27,middlegame,
6k1/2R5/1p2p2p/4P1PK/7P/8/8/8 w - - 0 40,endgame,
2B1kb1r/p4ppb/2N1pn1p/2n5/7P/6N1/PPPP1PP1/R1B1K2R b KQk - 0 14,middlegame,
8/3R2bp/k5p1/4p3/4K2P/6P1/8/8 b - - 1 52,endgame,
2r3k1/R4ppp/p2Bp3/1b6/1p3P2/1B6/PP5n/4K3 w - - 0 33,middlegame,
rnb1kbnr/pp4pp/1q2p3/2ppPp2/3P3P/8/PPP1NPP1/RNBQKB1R w KQkq - 2 6,opening,C02
5rk1/p2rN1pp/1p2b3/2p2p2/2P2P2/1PB1P1P1/P2P2BP/5RK1 b - - 0 23,middlegame,
rnbqkbnr/pp3ppp/4p3/3P4/3p4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 5,opening,D32
r1b1kbnr/pp3ppp/1qn1p3/2ppP3/3P4/3B1N2/PPP2PPP/RNBQK2R w KQkq - 3 6,opening,C02
5r2/1prb2k1/p7/3Pppp1/5p2/P7/1P2N1P1/2R3K1 w - - 0 32,middlegame,
8/5k2/R7/5PK1/8/1P1r3P/1b3P2/8 b - - 0 44,middlegame,
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/5NP1/PP2PPBP/RNBQK2R w KQkq - 0 6,opening,A84
2r3k1/pp3ppb/3B3p/1p1p4/3b3P/3nP1P1/1P3PB1/R5K1 w - - 0 24,middlegame,
2r3k1/7p/1r4p1/1p1P1p2/p3pP2/b4nP1/1R4KP/3R1B2 w - - 0 32,middlegame,
rn1qkbnr/pp3ppp/4p3/2ppPb2/3P1P2/5N2/PPP3PP/RNBQKB1R w KQkq - 0 6,opening,B10
5Q2/p1q3pk/5p1p/1p1B1b2/1P5P/3p1p2/PP4r1/3R3K w - - 0 36,middlegame,
r4rk1/p1p2Nbp/5n2/2Pp1qp1/8/2N1P1BP/PP3PP1/R2QK2R b KQ - 0 16,middlegame,
r4rk1/3b1pp1/p1n1p2p/1p1p2N1/2n2qP1/1QN5/PPP1B3/2K3RR w - - 0 20,middlegame,
8/4k3/8/3RK3/p2P2P1/PbP5/8/8 b - - 0 51,endgame,
8/1p2k3/1p5p/3P2p1/B1P5/7P/PP4K1/8 w - - 0 34,endgame,
8/8/5k1P/3B1P2/3K1P2/7b/P7/8 w - - 0 53,endgame,
r3kb1r/p1pnppp1/1p3np1/8/q2P4/1R1BB2P/P4PP1/3QR1K1 w kq - 0 19,middlegame,
6k1/p1p4p/1p1p1b2/3Prp2/2P2n2/5Q1B/q2N3P/1R4K1 b - - 1 28,middlegame,
rnbqk1nr/pp2ppbp/3p2p1/2p5/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 0 5,opening,A10
r1bqkbnr/pp3ppp/2n1p3/3p4/3PP3/8/PP1N1PPP/R1BQKBNR w KQkq - 1 6,opening,C07
8/8/p6p/4k3/2p5/PbP5/5K2/6q1 w - - 0 49,middlegame,
r1bqkbnr/ppp1pppp/2np4/8/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 3,opening,B07
2r1kr2/1b3p1p/p3p3/3pQ3/Pp5q/8/1PP1R1P1/2K1R3 b - - 1 24,middlegame,
2r3k1/R4ppp/p3p3/1b6/5P2/1nB5/PP6/3K4 w - - 0 36,middlegame,
rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/3B4/PPPN1PPP/R1BQK1NR w KQkq - 2 5,opening,A45
r1bqkbnr/pp1npppp/2pp4/8/3P4/2P2N2/PP2PPPP/RNBQKB1R w KQkq - 2 4,opening,A41
rnbqk2r/ppp1bppp/5n2/3p4/3P4/4PN2/PP3PPP/RNBQKB1R w KQkq - 0 6,opening,D05
rnb1kb1r/p2ppppp/1q3n2/8/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 0 5,opening,A56
rnbqkbnr/ppp2ppp/3pp3/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3,opening,A13
6k1/2p2r1p/1p1pQ1p1/1B1Pp3/p6P/P4P2/5qPK/3r4 w - - 0 32,middlegame,
1k2Nr2/1b1n4/pp5p/4P1p1/P2P4/2P1P3/6PP/1R3RK1 b - - 0 25,middlegame,
r1bqkbnr/pp1n1ppp/3p4/2pPpP2/4P3/8/PPP3PP/RNBQKBNR w KQkq - 1 6,opening,A43
rn1qk2r/ppp1ppbp/5np1/3p1b2/3P1P2/4PN2/PPP1B1PP/RNBQK2R w KQkq - 2 6,opening,A45
8/5pkp/6p1/pp1p4/8/r4P1P/6P1/3R3K w - - 0 41,middlegame,
8/1p1r4/pP5k/P1BBp1pp/1P2Pp1Q/7P/6P1/5RK1 w - - 0 46,middlegame,
4k1nb/1qB1p3/4N1pr/2QP1p1p/4p3/P1PR4/1P3PPP/2K4R b - - 0 22,middlegame,
8/4k3/6pp/8/8/Rp4p1/1P3KPP/8 w - - 0 44,endgame,
rnbqkb1r/ppp1pppp/5n2/3p4/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 1 3,opening,A15
r1bqk2r/ppp1ppbp/n2p1np1/8/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 3 6,opening,E90
3b1rk1/6pp/2Qpq3/r3p3/2p5/2P1Rp2/5PPP/3R2K1 b - - 1 27,middlegame,
rnbqkbnr/pp1p1ppp/4p3/8/3pP3/2P5/PP3PPP/RNBQKBNR w KQkq - 0 4,opening,B22
rnbqkb1r/p1p1pppp/1p3n2/3p4/3P4/5N2/PPPNPPPP/R1BQKB1R w KQkq - 0 4,opening,A45
r1bqkbnr/ppp1pppp/2n5/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,opening,D07
3r4/pQ3p1p/2pkp3/1npp4/P2P1qp1/1P6/2P3P1/1K1RR3 w - - 0 32,middlegame,
rnb1kb1r/pp2pp2/2p5/3p2pp/2PP4/3BPP2/PP1KQ3/RN4Nq w kq - 0 12,middlegame,
8/5k2/1p6/2r2K2/1R2P3/8/8/8 w - - 1 52,endgame,
r1bqkbnr/pp1npppp/2pp4/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,opening,A41
2r3kb/4Pp1p/pq1p2p1/1p2p1Q1/2p3b1/2P1R1P1/PP5P/4R1K1 b - - 1 33,middlegame,
2kr3r/ppp4p/3p4/4pp1Q/4q3/2P1n3/PPN4P/2KR1R2 w - - 0 23,middlegame,
5r2/1k1r3p/3pRnp1/B7/8/5P1P/PPP3P1/2KR4 b - - 0 24,middlegame,
r4B1k/pQ4pp/4bq2/8/3Pp3/5N1P/P4PP1/R4RK1 b - - 0 25,middlegame,
rnbqk2r/ppppppbp/5np1/8/2PP4/6P1/PP2PP1P/RNBQKBNR w KQkq - 1 4,opening,A49
r2r4/1p3pk1/8/4N3/p4n1p/3P2q1/BP4b1/2N3RK w - - 0 35,middlegame,
6k1/5ppp/p2p1b2/1p6/8/3B3P/PP3q2/2RK4 b - - 1 31,middlegame,
rnbqk2r/ppp1bppp/4pn2/6B1/2pP4/P1N5/1P2PPPP/R2QKBNR w KQkq - 0 6,opening,D53
2rr4/5kq1/4P2b/pp1pP2R/8/P2QP3/BP1B4/1K1R4 b - - 0 31,middlegame,
8/1p5p/1Pb4P/2P1k3/4p1K1/4B3/8/8 b - - 0 41,endgame,
r3kb1r/pp1b1ppp/4p3/8/2p1Pq2/2N2N1P/PP2K1P1/3R3R w kq - 2 17,middlegame,
rnbqk1nr/ppppppbp/6p1/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 1 3,opening,A04
r1bqkb1r/pp3ppp/2np1n2/2p1p3/4P3/2PB1N1P/PP1P1PP1/RNBQK2R w KQkq - 0 6,opening,B50
2r5/R7/3r4/3pk3/6R1/P1P2P2/1P1K4/8 b - - 0 35,middlegame,
6k1/1p3p1p/p1Q5/8/8/P3P1P1/1P3P1P/6K1 b - - 0 32,middlegame,
rnbqkbnr/ppp1pppp/8/8/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,opening,B01
3r4/3kq3/2p1b1Q1/2p2p2/2P1p2P/1P4PB/PB3P2/4R1K1 b - - 2 31,middlegame,
5rk1/6pp/2pp4/2p1p3/6bq/2PPNp1P/3Q1P1K/1R6 b - - 1 22,middlegame,
5r2/5pk1/p5pp/2pP4/2Pp4/Pr4qn/2Q2RB1/5R1K b - - 1 39,middlegame,
5r2/ppkb3p/1b3np1/6B1/2BP4/PN5P/P4PP1/R3R1K1 b - - 0 25,middlegame,
r4rk1/p5pp/1b1Q1p2/3p4/5Pb1/1P1p2q1/PBPK4/R5R1 b - - 1 24,middlegame,
rn1qkbnr/pbpp1ppp/1p2p3/8/4P3/2N3P1/PPPP1P1P/R1BQKBNR w KQkq - 1 4,opening,C00
r4rk1/5ppp/p2ppb2/8/Np3P2/1PPb4/P3q1PP/K2RR3 b - - 1 21,middlegame,
r1bqkbnr/p2ppppp/p1p5/8/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,opening,B10
8/p7/1pp1k1p1/3p1p1n/3P1b2/2PB1K2/PP6/8 b - - 1 45,middlegame,
1k6/7p/q1p3b1/1PP5/8/1Q3p2/P4P1P/K2RR3 b - - 0 40,middlegame,
rnbqkbnr/1ppp1p1p/p3p1p1/8/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 0 4,opening,A40
6k1/p7/1p6/3p2p1/1P1b2b1/P4q2/6R1/2B3K1 w - - 0 44,middlegame,
8/p3kp1p/2p1p1p1/2Q5/8/1P1KPq2/P7/8 b - - 1 26,middlegame,
8/1p1kbp2/4p1p1/pP1pP3/3r4/3N1P2/R3K3/8 w - - 0 37,middlegame,
rnbqk2r/ppp1npbp/3pp1p1/8/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq - 1 6,opening,B06
2rq1rk1/ppp1bppp/5n2/3b2n1/3P4/3QP3/PP3PPP/1KR2R2 w - - 0 18,middlegame,
2b5/R1B3pk/7p/8/8/7n/PPPN4/1K2R3 b - - 2 39,middlegame,
rn2k1nr/pb1p3p/1p1p2p1/6q1/2B2p2/2B4Q/PPP3PP/R4RK1 w kq - 0 16,middlegame,
8/1p4pp/p4p2/5P2/3K2P1/6kP/1P6/8 b - - 0 53,endgame,
5b1r/2kr2p1/p2pQp1p/1p1RpP2/8/P3B3/1P4PP/2q3K1 w - - 0 31,middlegame,
r1b2rk1/pp3p2/2pp2p1/q5N1/4P1nQ/1B6/P2N2P1/5R1K b - - 1 20,middlegame,
r6r/4kpp1/1p5p/8/2Bpb2P/1P6/KB6/5R2 w - - 2 29,middlegame,
3r2kr/p3bpp1/1n2p2p/1B2P2P/5BN1/3P2P1/PP1Q1P2/4R1K1 w - - 1 25,middlegame,
r3k2r/pp2bp2/2pp2n1/4p1p1/4P3/PPPP1Ppq/1BKN2n1/R3Q1R1 w kq - 0 23,middlegame,
r1bqkbnr/pp2pppp/2np4/2p5/4PP2/3P4/PPP3PP/RNBQKBNR w KQkq - 1 4,opening,B20
1r2n1k1/p2q2pp/2rp1b2/3P1p2/1pQ1p3/7P/P2B1PP1/2R1N1K1 w - - 0 25,middlegame,
r2qkbnr/pp1n1ppp/4p3/2ppP3/3P4/8/PPP2PPP/RNBQK1NR w KQkq - 0 6,opening,C02
rnbqkb1r/ppppp1pp/5n2/5pB1/3P4/8/PPP1PPPP/RN1QKBNR w KQkq - 2 3,opening,A80
rnbqkb1r/ppp1p1pp/5p2/3p4/3PnB1P/8/PPP1PPP1/RN1QKBNR w KQkq - 0 5,opening,A45
rn1qkbnr/pbpp2pp/1p2p3/5p2/2PP4/2N2P2/PP2P1PP/R1BQKBNR w KQkq - 1 5,opening,A84
rnbqkb1r/ppp1pp1p/5np1/3p4/8/1P2P3/PBPP1PPP/RN1QKBNR w KQkq - 0 4,opening,A00
1k1r4/p1p1b3/2p2p2/4p1pp/N7/P3P1P1/1PR1r1KP/8 w - - 0 28,middlegame,
r7/7p/p5p1/4P1b1/kQ6/1R3P2/PPP4P/1K6 b - - 0 31,middlegame,
r1bqkbnr/pp1n1ppp/3p4/2p1p3/4PP2/2N2N2/PPPP2PP/R1BQKB1R w KQkq - 2 5,opening,B23
r3k2r/pp1n1ppp/2pbp3/3p4/3Pb1P1/1NP1B2P/PP1Q1P2/2KR3q w kq - 0 17,middlegame,
r7/8/5k2/p4P2/R4K1P/8/8/8 w - - 1 50,endgame,
8/2p2k2/3p4/3Pp3/4PKP1/8/8/8 w - - 0 70,endgame,
8/pp4k1/2np1p2/8/3bp1N1/1P5r/P5P1/3R3K w - - 0 32,middlegame,
r4r1k/2R2Np1/1pR4p/p2p2q1/6Q1/3P2PP/PP2PP2/6K1 b - - 0 24,middlegame,
2r2rk1/6bp/2q3p1/p3p1P1/1p3p1P/3b1P2/P1Q4R/1K1RB3 w - - 0 31,middlegame,
1N6/6pp/3k1p2/4p3/2P1P3/2K3P1/5P1P/8 b - - 0 39,endgame,
8/p1p5/2p5/4p3/2P1k1p1/1P6/P3K1P1/8 w - - 1 39,endgame,
rnbqk1nr/ppppppbp/6p1/8/8/1P6/PBPPPPPP/RN1QKBNR w KQkq - 2 3,opening,A01
