fen,phase,eco,material,mobility,white_king_safety,black_king_safety,white_center_control,black_center_control,evaluation_cp
6k1/5pp1/1p1r3p/3p4/1P6/7P/8/2R3K1 w - - 0 34,middlegame,,17,19,0,0,0,2,-460
8/p1p4p/1p6/6pk/1PP2n1P/4RK2/6r1/8 w - - 2 44,middlegame,,21,15,0,0,3,1,-408
8/3k1p2/2p1p3/1p1pPp2/pP3P2/P1P4K/8/8 b - - 0 34,endgame,,12,8,0,0,2,2,-419
r1bqkbnr/pp2pppp/2np4/2p5/4P3/2N3P1/PPPP1P1P/R1BQKBNR w KQkq - 1 4,opening,B26,78,33,0,0,2,2,2
rnbqkb1r/ppp2ppp/3pp1n1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 3 5,opening,A04,78,35,0,0,4,2,127
1k2rr2/2p5/1pP5/p7/Pn1P2QP/4P1P1/5P2/1R4K1 b - - 2 37,middlegame,,37,24,0,0,3,3,526
8/1r5k/3R2pp/1P1P4/8/7P/5PP1/6K1 w - - 1 39,middlegame,,17,17,0,0,1,0,507
2r5/R1p3kp/5np1/4R3/2P5/BBn2P2/P1P2P1P/2Kr4 w - - 1 22,middlegame,,41,1,1,0,2,3,472
4r3/5ppk/5n1p/4pN2/4P1q1/b4P2/1p1NK3/1R2Q3 b - - 0 40,middlegame,,47,37,0,0,3,4,-544
r6k/1Q4p1/7p/8/7P/8/1PP3P1/1K2R3 b - - 0 44,middlegame,,25,18,0,0,3,0,633
6K1/8/5k1P/p4p2/1pp5/8/P7/8 b - - 0 56,endgame,,6,9,0,0,0,2,288
r1b2rk1/pp1n1pp1/1b5p/3Q4/5pPq/1N3B2/P1P2P2/R3R1K1 w - - 0 19,middlegame,,63,50,0,0,4,2,-657
8/7p/6p1/4K3/8/n5P1/5P1P/2k5 b - - 0 51,endgame,,8,12,0,0,3,0,0
8/2k5/3p3p/3Pb1p1/6q1/3K4/7P/8 w - - 0 45,middlegame,,17,5,0,0,2,3,-3927
rnbqk2r/ppp1p1bp/3p1np1/5p2/2PPP3/2N2P2/PP4PP/R1BQKBNR w KQkq - 1 6,opening,A42,78,37,0,0,4,3,33
8/5ppp/8/5k2/2K5/1r3PP1/7P/8 w - - 0 46,endgame,,11,8,0,0,3,2,-48
r1b1kb1r/ppp3pp/2n2n2/1Q6/4p3/2B5/PqP2PPP/RN2K2R b KQkq - 1 13,middlegame,,67,39,0,0,3,4,-1174
rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,opening,E14,78,33,0,0,3,2,30
6k1/1p4p1/5r1p/pN1P4/P7/2P1PpPP/1P6/5R1K b - - 0 35,middlegame,,25,19,0,0,1,0,557
r7/pp3rk1/4p3/1bN5/3P1p2/2P5/1K1QNq2/8 w - - 2 40,middlegame,,43,28,0,0,3,2,-577
rnbqk2r/ppp2ppp/3bpn2/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 1 5,opening,D02,78,36,0,0,2,3,16
r1k3r1/pp3R2/3p1Q2/2p4p/2P2pp1/7q/PP6/R1B3K1 b - - 1 27,middlegame,,51,29,0,0,3,2,-50
8/1p2k3/4p1P1/P3K3/Pb1B1P2/3P4/8/8 b - - 0 47,endgame,,13,13,0,0,4,1,539
Bq3b1k/3b3r/5p1p/1p2pNpP/4Pn2/P3BN2/1P1Q1PP1/2RR2K1 w - - 1 31,middlegame,,65,51,0,0,4,3,780
r1bqkbnr/ppn1pppp/2pp4/8/3PP3/2NB4/PPP2PPP/R1BQK1NR w KQkq - 0 5,opening,B12,78,39,0,0,3,2,100
5rk1/2p1q1p1/r3Bp1p/p3Q3/Pp1PP3/8/1P3PPP/R1B2RK1 b - - 0 20,middlegame,,57,6,0,1,4,1,536
rnb1kbnr/pp3ppp/1qp1p3/3p4/3PP3/2NB4/PPP2PPP/R1BQK1NR w KQkq - 2 5,opening,C10,78,39,0,0,3,3,132
5Q2/6N1/8/3p2P1/1P1P2K1/PkP5/8/8 b - - 0 54,middlegame,,18,7,0,0,2,1,3975
rnbqkb1r/pp2pppp/5n2/2p5/5P2/5N2/PPPPB1PP/RNBQK2R w KQkq - 4 6,opening,B21,76,30,0,0,2,3,15
8/8/2p2r2/1p1k4/3P3R/P1P1p2P/1P4P1/6K1 w - - 0 39,middlegame,,19,15,0,0,3,4,-121
4rrk1/5pb1/1p4qp/pPp1p3/P1Ppn1P1/5Q1P/7B/4RRK1 w - - 0 28,middlegame,,59,31,0,0,3,3,-338
8/pb4k1/1p4p1/6r1/3P1q1K/8/P7/3Q4 w - - 2 41,middlegame,,31,2,1,0,2,4,-9999
4r1k1/pR3ppp/4bBn1/3pP2Q/3p4/q1rB3P/6P1/5RK1 w - - 0 25,middlegame,,59,51,0,0,2,3,-325
2Q2b1r/p2nqk1p/7n/1p2p3/4PNp1/1B6/PPP2PPP/RNB1K2R b KQ - 0 15,middlegame,,66,3,0,1,1,2,1112
2r3k1/q2r2p1/b3p2p/p3Q3/Pp6/5R2/1P3bPP/1K5R w - - 0 30,middlegame,,53,46,0,0,3,2,-570
2kr1b1r/ppp1pppp/4b3/2N5/1q2P3/5PP1/3PN2P/n1BQK2R b K - 1 14,middlegame,,63,44,0,0,3,3,-820
r1bqkb1r/pp1pnppp/2n1p3/2p5/2P1P3/2NP4/PP3PPP/R1BQKBNR w KQkq - 2 5,opening,B20,78,37,0,0,2,3,-4
3rr3/5p2/1p6/2p2k1p/P4Np1/1P1P2n1/6B1/2K5 w - - 0 38,middlegame,,27,23,0,0,2,4,-920
r1b2rk1/p3pp1p/2p3p1/3p4/3P3q/1P3Qb1/PBPN4/R4R1K w - - 0 18,middlegame,,61,2,1,0,4,4,-9999
8/7p/kp4p1/pRp5/P7/KP1r2rP/1b6/3N4 w - - 0 39,middlegame,,29,3,1,0,0,3,-515
8/1pp2p1p/5k2/2b5/8/1P4PB/5r1P/2n4K w - - 0 32,middlegame,,21,10,0,0,0,2,-622
5bk1/p2Q1p1p/1p1Np1p1/4P3/3P4/4q3/P5K1/8 b - - 1 40,middlegame,,33,33,0,0,2,4,-321
2kr3r/1pp2ppp/p2bpn2/4q3/8/2N1B1P1/PPP2Pb1/R3QRK1 w - - 0 16,middlegame,,65,33,0,0,3,4,-444
r1b1kbnr/pppp1ppp/5q2/4p3/2B1P3/2P2Q2/PP1P1PPP/RNB1K2R w KQkq - 1 6,opening,C50,72,37,0,0,3,2,52
r1b3Q1/3pkp2/p4B2/1pp1p3/2N1P3/3P3B/PPP2P2/R5K1 b - - 0 23,middlegame,,43,1,0,1,3,1,1242
2kr3r/2p1b3/1p1p1n2/p3p3/P1N5/1PBP4/2P2Qpq/R4K2 w - - 0 26,middlegame,,55,3,1,0,3,4,-752
rnbqk2r/pp1pppbp/2p2np1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 1 5,opening,B06,78,37,0,0,4,2,89
1q2r3/5Q1p/6pk/3P4/2P5/1P3R2/r4PP1/3R2K1 w - - 1 30,middlegame,,45,38,0,0,2,2,655
8/5kp1/5b2/1p4r1/p3R3/P7/6KP/2r5 w - - 0 49,middlegame,,23,4,1,0,2,3,-838
r7/3pkp2/2b1p1p1/1BP4p/1P2P3/r1NRKP2/P2R2PP/8 b - - 0 29,middlegame,,41,33,0,0,3,2,577
rnbqkbnr/pp2pppp/3p4/2p5/4P3/8/PPPPNPPP/RNBQKB1R w KQkq - 0 3,opening,B99,78,23,0,0,2,2,21
1rb1r1k1/3q1pP1/p3p2B/3p4/3P4/2N5/PP3PPP/R2QK2R b KQ - 0 17,middlegame,,58,25,0,0,4,2,516
8/7p/p1R5/5p1p/PP6/2k3P1/4K3/8 b - - 0 36,endgame,,12,4,0,1,0,2,512
rnbqkb1r/pp3ppp/4pn2/2pp2B1/3P4/2P2N2/PP2PPPP/RN1QKB1R w KQkq - 0 5,opening,D02,78,33,0,0,2,3,10
rnbqk2r/pp2ppbp/2pp1np1/8/3PP3/4BP2/PPP1N1PP/RN1QKB1R w KQkq - 2 6,opening,B07,78,34,0,0,4,3,47
1r6/1ppq1b1k/p4bBp/3P4/2P4N/P3B1PP/1PQ4K/4R3 b - - 0 30,middlegame,,53,4,0,1,3,3,642
r1bqk1nr/pp2ppbp/2np2p1/2p5/2B1PP2/P4N2/1PPP2PP/RNBQK2R w KQkq - 1 6,opening,B21,78,36,0,0,3,2,-8
r1b2rk1/pp4pp/2p5/3p4/P2P1Pn1/1PK1p1P1/1B3q2/R2QR3 w - - 0 24,middlegame,,59,24,0,0,2,3,-723
3Q2k1/p6p/1p4p1/4N3/3P4/6P1/P4P1P/4qBK1 b - - 0 32,middlegame,,33,1,0,1,3,2,9997
q4rk1/Q1R2pbp/4p1p1/B1NpP3/P2P1P2/1P6/6PP/6K1 b - - 0 33,middlegame,,49,21,0,0,2,3,620
8/p5pp/8/2p3k1/2P3P1/7K/P7/7R w - - 0 51,endgame,,12,13,0,0,1,1,495
1k1r3r/8/Pp1N4/3PpP2/2P3p1/4Q1P1/2B2KP1/q7 b - - 0 35,middlegame,,43,36,0,0,4,2,-380
rnbqkb1r/ppp2ppp/5n2/4p3/4P3/3B4/PPP2PPP/RNBQK1NR w KQkq - 0 5,opening,B07,76,36,0,0,2,3,20
rnbqkb1r/pp1ppp1p/5np1/2p5/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq - 0 4,opening,A34,78,26,0,0,2,3,17
r1bqkb1r/pp2pppp/2np1n2/2p5/2B1P3/5N1P/PPPP1PP1/RNBQK2R w KQkq - 1 5,opening,B20,78,35,0,0,3,4,10
2rq1rk1/p2bn1bp/3Q2p1/3Pp3/4N3/1B2BN2/PP3PPP/R4RK1 b - - 0 17,middlegame,,69,40,0,0,3,3,466
r4rk1/ppp1pp2/5bpp/1Q6/5Pb1/3R4/qPP4P/1NK2B1R b - - 1 18,middlegame,,61,48,0,0,3,3,-576
k7/P7/4K3/1p2P1P1/1P6/3r4/7R/8 b - - 0 51,middlegame,,15,16,0,0,2,2,609
3q4/7p/1pB4k/1P1p3n/P2PpBQ1/8/5PPP/6K1 b - - 0 38,middlegame,,37,2,0,1,2,2,653
7k/6bp/6p1/1pP5/4p3/4P3/3K2PP/8 w - - 0 41,endgame,,11,10,0,0,1,2,-334
2kr4/ppp2N2/8/8/4n3/4P1P1/PPPB2K1/3R4 w - - 1 29,middlegame,,27,31,0,0,2,2,619
rn1qkbnr/1bpppppp/p7/1p6/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq - 2 4,opening,B00,78,31,0,0,3,2,105
r1b2rk1/pp1ppp1p/2n3p1/5N2/8/1BbqBP2/P1P1K1PP/R6R w - - 0 14,middlegame,,59,3,1,0,3,4,-506
rnbqkb1r/ppp2ppp/4pn2/3p4/8/1PN5/PBPPPPPP/R2QKBNR w KQkq - 2 4,opening,A01,78,26,0,0,2,2,-31
r2qkbnr/pbpppppp/1pn5/8/2P5/2NP4/PP2PPPP/R1BQKBNR w KQkq - 1 4,opening,A10,78,32,0,0,2,2,46
2rq1rk1/p4ppp/5n2/2B2b2/2P5/3P1NP1/P4PBP/R2Q1RK1 b - - 0 16,middlegame,,63,36,0,0,4,3,144
r2qkbnr/ppp2ppp/2np4/8/3PPpb1/2N2N2/PPP3PP/R1BQKB1R w KQkq - 1 6,opening,C25,77,35,0,0,4,2,145
r1bqk1nr/ppp1ppbp/3p2p1/3Pn3/2P1P3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 6,opening,A42,78,38,0,0,3,1,86
8/2q1nk2/5n2/pQ1p2p1/1p1Pp3/1P2P3/1B1N4/4bK2 w - - 0 38,middlegame,,41,27,0,0,4,3,-652
6kr/5R2/p5p1/2p4p/2Pb1PP1/8/PP4KP/R1B5 b - - 0 29,middlegame,,31,15,0,0,2,2,60
2k5/5R2/2p5/ppPpP3/3PN3/1KP5/P2r1P2/8 b - - 0 37,middlegame,,23,13,0,0,2,3,371
7k/Q1P3r1/1p3p1p/4pP1B/1P6/P4P2/4KP2/8 b - - 0 50,middlegame,,27,16,0,0,1,2,688
8/5k2/5p2/p2p1P1p/P2P1b1P/5K2/8/8 w - - 0 65,endgame,,11,4,0,0,2,2,0
r1bqkb1r/ppp2ppp/2n2n2/3p4/3P4/2N1P3/PP3PPP/R1BQKBNR w KQkq - 0 6,opening,D35,76,38,0,0,4,4,1
8/8/8/5k2/1R6/1P1P4/2KB1r2/8 b - - 0 47,middlegame,,15,11,0,0,2,2,566
R7/5pk1/1b5p/5p2/pr4PK/8/7P/8 w - - 0 43,middlegame,,19,15,0,0,0,2,-619
1b1r2k1/5p2/4p3/pp4P1/8/1r3N2/4B1K1/4R3 w - - 0 40,middlegame,,29,24,0,0,2,3,-561
4r1r1/5b2/p3p2k/3p2R1/3P3P/1PP5/P2NN3/5RK1 w - - 1 38,middlegame,,37,33,0,0,4,2,673
4rr1k/p1p3pp/2p1b3/3p1p2/qB3P2/P2B4/3N2PP/Q6K w - - 0 26,middlegame,,51,39,0,0,3,2,-462
8/8/6pk/p1p4p/8/1P3P2/P5K1/8 w - - 0 51,endgame,,7,11,0,0,1,1,-428
rnbqk1nr/ppppppbp/6p1/8/8/1P3N2/P1PPPPPP/RNBQKB1R w KQkq - 1 3,opening,A04,78,23,0,0,2,2,-37
rnbqkbnr/pp4pp/4pp2/2ppP3/5P2/2N5/PPPP2PP/R1BQKBNR w KQkq - 0 5,opening,B23,78,33,0,0,3,4,-19
2r2rk1/p4pp1/7q/3B4/4PP2/1PbQ2PK/P6P/1R3R2 w - - 1 26,middlegame,,53,2,1,0,4,2,480
r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 2 4,opening,C00,78,32,0,0,4,3,27
r1bqkb1r/ppp1pppp/2n2n2/3p2B1/3P4/8/PPPNPPPP/R2QKBNR w KQkq - 2 4,opening,A45,78,30,0,0,2,4,5
r3rk2/1pp2p2/p2p1bq1/3N4/8/5N2/PP4PQ/K2R3n w - - 0 30,middlegame,,53,40,0,0,3,3,-379
8/4k3/6K1/4R3/8/3r4/8/8 b - - 0 41,endgame,,10,4,0,1,2,2,0
4rr1k/p4ppp/5n2/3p1P2/3p3Q/4q1N1/PPP3bP/6RK w - - 0 24,middlegame,,53,2,1,0,2,4,-708
8/1p3p1k/p1p1r2P/3rP3/6R1/P1B1Q2P/1P4P1/5K2 w - - 1 36,middlegame,,37,42,0,0,3,3,663
rnbqk2r/ppp1bpp1/4pn1p/3p2B1/2PP4/P1N5/1P2PPPP/R2QKBNR w KQkq - 0 6,opening,D53,78,39,0,0,4,2,-2
8/5pkp/5bp1/3r4/p4R2/8/5PK1/1B6 w - - 0 41,middlegame,,21,24,0,0,2,2,-229
N5nr/R6p/bp2kPp1/8/8/P1B5/1P4PP/4K2R b K - 0 24,middlegame,,35,17,0,0,2,2,701
6k1/pq3ppp/1p2p3/8/2Pr1Q2/1P4PK/r6P/5R2 w - - 0 30,middlegame,,43,32,0,0,4,2,-597
6k1/pp1b4/8/3p4/3PqB2/5N1P/PP4K1/R4R2 b - - 0 31,middlegame,,35,34,0,0,2,4,49
8/p3k1p1/5b1p/1p6/2p2B1P/1qP2KP1/8/8 w - - 2 45,middlegame,,23,17,0,0,3,2,-642
4b3/4rk2/5q2/Q4p1p/2PR1P2/4P3/P5PP/K7 b - - 0 35,middlegame,,39,31,0,0,4,3,-287
2k4r/p7/P1p3p1/1p3p2/1PbQp3/2P3P1/3K1P2/3q4 w - - 0 40,middlegame,,37,2,1,0,4,2,-507
8/1p5p/1k1P4/pN3b2/8/4P3/2P2PPP/2K5 w - - 1 33,middlegame,,15,19,0,0,1,1,376
r1b4k/ppp2n1p/2np2p1/8/3p2Pb/2P1P2P/PP1B2K1/R4N2 w - - 0 23,middlegame,,41,21,0,0,1,2,-736
8/5bp1/p2k3p/4p3/3p4/P3r3/1K1R2PP/8 w - - 0 40,middlegame,,21,15,0,0,1,4,-542
r4rk1/2qQ4/5p1p/PK1P1P2/4p3/6b1/8/8 w - - 0 56,middlegame,,37,15,0,0,1,1,-1039
8/1b6/p6p/k5pP/2p3P1/4KP2/2B5/8 b - - 1 44,endgame,,13,10,0,0,2,2,0
rnbqkb1r/1p1p1ppp/p3pn2/8/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 6,opening,A32,76,38,0,0,3,2,50
r1bqkbnr/ppp2ppp/2np4/4p3/8/1P3N2/PBPPPPPP/RN1QKB1R w KQkq - 0 4,opening,A01,78,27,0,0,2,2,23
