fen,phase,eco,material,mobility,white_king_safety,black_king_safety,white_center_control,black_center_control,evaluation_cp,best_move
2r4k/pb3pp1/7p/4Pp2/1B1p1P2/3p2QP/1q4P1/5RK1 w - - 0 27,middlegame,,45,31,0,0,1,3,-503,e5e6
rnbqkbnr/ppp2pp1/3p3p/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,opening,C41,78,33,0,0,3,2,88,d2d4
r4rk1/pp3ppp/4p3/6B1/3N4/P5nP/6P1/R4K2 w - - 0 25,middlegame,,33,3,1,0,0,2,-669,f1g1
rnbqkbnr/p2p1ppp/2p5/1p2p3/2BPP3/8/PPP2PPP/RNBQK1NR w KQkq - 0 4,opening,C23,78,41,0,0,3,2,96,c4b3
7k/1R3R2/5nNp/p2p4/3P4/4rP1P/P5P1/6K1 b - - 0 39,middlegame,,29,1,0,1,2,3,9999,h8g8
8/r7/P4k2/7K/R7/6P1/8/8 b - - 0 54,endgame,,12,15,0,0,2,1,506,f6f5
1r3rk1/R4ppp/2R5/b2Np2b/2B1P3/1P3P2/P1P3PP/6K1 b - - 0 21,middlegame,,43,28,0,0,2,1,637,b8a8
rn2k1nr/ppp2ppp/8/8/3pq3/1P1BB3/P1P2KPP/RN1b3R b kq - 1 11,middlegame,,59,42,0,0,2,3,-1238,d4e3
r1bqkb1r/pp1ppppp/2n2n2/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4,opening,B30,78,30,0,0,4,4,44,d2d4
7b/7k/p3p2p/2NbPp2/5P2/3PBnP1/PPP2Q2/2K3Nq w - - 1 32,middlegame,,47,26,0,0,3,4,408,c2c4
5nk1/pp3p2/2p3p1/2Ppr3/6q1/1P6/P1Q3P1/5R1K w - - 0 32,middlegame,,41,31,0,0,1,3,-591,c2f2
8/3k1p2/1p1P4/2pKb1p1/6P1/7P/5P2/8 w - - 0 48,endgame,,11,6,0,0,3,1,-365,d5e5
r3k2r/1p3ppp/p3pn2/2bpn1B1/1q4b1/1P1B4/P1QN1PPP/1R2R1K1 w kq - 0 16,middlegame,,71,42,0,0,2,3,-295,e1e5
r1r1kb2/1R5p/p3P1p1/5p2/R1PBpP1P/2P3P1/1P2NK2/8 b - - 0 26,middlegame,,41,21,0,0,3,1,637,c8c6
r1bqkbnr/p3pppp/2pp4/8/4P3/8/PPP2PPP/RNBQKB1R w KQkq - 0 6,opening,B32,70,38,0,0,2,2,-5,b1c3
2kb3r/p4pp1/b2qp2p/p2p4/2pP4/2P3N1/Q3BPPP/4R1K1 w - - 2 26,middlegame,,53,33,0,0,3,3,-332,e1b1
5rk1/3q1rpp/8/2pnp3/1pPp4/3P2P1/4Q2P/R5RK w - - 0 31,middlegame,,51,38,0,0,3,2,-548,c4d5
1rqb2k1/p1p2r2/1p5Q/1Nn1P1p1/8/P6P/1PPR1PPB/2K4R w - - 1 22,middlegame,,61,46,0,0,3,1,533,h6g6
r1bqkbnr/pp3ppp/2n1p3/2p1P3/3p1P2/2N2N2/PPPP2PP/R1BQKB1R w KQkq - 0 6,opening,B23,78,30,0,0,4,3,13,c3e4
1r3b1r/1p3k2/p1n1pq2/2p2p1p/P2p1Pp1/1P1P4/2PBQ1R1/4RKN1 w - - 0 26,middlegame,,63,28,0,0,2,4,-498,a4a5
rnbq1rk1/pp1pppbp/5np1/1Np5/2PP4/4P3/PP3PPP/R1BQKBNR w KQ - 1 6,opening,A56,78,36,0,0,3,3,-71,d4d5
rnbqkbnr/pppp2pp/8/4pp2/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3,opening,C30,78,30,0,0,2,2,90,e4f5
8/4q1k1/3b1rP1/p1p1p3/N1Pp2Q1/BP1P3P/P5P1/6K1 w - - 1 35,middlegame,,43,27,0,0,3,2,-56,a4b6
rnbqkb1r/pppp2pp/4pn2/5p2/3P4/6PN/PPP1PP1P/RNBQKB1R w KQkq - 0 4,opening,A81,78,28,0,0,2,2,42,c2c4
r1bqkbnr/1p1p1ppp/p1n1p3/8/3NP3/8/PPP1BPPP/RNBQK2R w KQkq - 0 6,opening,B44,76,42,0,0,2,3,58,c2c4
2k2r1r/1p1b4/2P2q1p/4Q1p1/1P6/P2B1N2/5PPP/2R3K1 b - - 0 27,middlegame,,51,30,0,0,4,1,398,b7c6
rnbqkbnr/pp2pp1p/2pp2p1/8/3PPP2/8/PPP3PP/RNBQKBNR w KQkq - 0 4,opening,B12,78,35,0,0,3,2,75,f1d3
r1b1kb1r/pp1n1p1p/4pnp1/2q5/Q2ppB2/6P1/PPP2P1P/RN2KB1R w KQkq - 2 12,middlegame,,73,43,0,0,2,4,-647,b1d2
rnbqkbnr/pp3ppp/8/2pp4/2P5/5N2/PP1P1PPP/RNBQKB1R w KQkq - 0 5,opening,B40,76,26,0,0,3,3,59,c4d5
2k4r/p7/R6b/7p/1P5n/P1N2P1P/5P2/3R2K1 b - - 0 30,middlegame,,31,19,0,0,3,0,515,h4f3
1r6/2p1P1k1/2p3p1/p2r4/P3Qp2/2P2P1p/Kq6/4R3 w - - 0 38,middlegame,,43,0,1,0,4,3,-10000,
4r2k/pp5p/3bP3/4n2Q/8/1P2P1P1/PB5P/5RK1 b - - 0 26,middlegame,,37,22,0,0,2,1,754,e8b8
rnbqkb1r/ppp1nppp/4p3/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5,opening,C10,76,42,0,0,2,2,102,g1f3
rnbqk1nr/pp1p1ppp/8/2b1p3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,opening,A43,76,40,0,0,2,1,3,b1c3
6k1/p4p1p/1p2pp2/8/8/1r2NP2/6PP/6K1 w - - 0 30,middlegame,,17,15,0,0,2,2,-625,h2h4
k2b4/8/1K6/1Pp1B2p/2P1Pp2/5P2/6PP/8 w - - 1 48,middlegame,,15,4,1,0,3,1,646,b6a6
k2rQ3/1p4pp/p4b1n/2B5/3P4/1P6/P2P1PPP/4R1K1 b - - 1 25,middlegame,,39,18,0,0,3,3,680,h6f5
rnbqkbnr/pp3ppp/3p4/4p3/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 5,opening,B54,77,42,0,0,3,2,74,c2c3
r2q1rk1/1b4pp/p3p3/1pp1np2/6P1/2P1P1b1/PPBNQ3/2KR2R1 w - - 0 20,middlegame,,65,37,0,0,2,4,-292,g1g3
8/p7/1p6/2p2p2/3p2k1/P2P2P1/1PP1K3/8 w - - 1 45,endgame,,10,10,0,0,1,2,-43,e2f2
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5,opening,C50,78,38,0,0,4,4,10,c2c3
rnbqkbnr/ppp3pp/3p4/4pp2/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,opening,C41,78,30,0,0,4,3,128,d2d4
8/1b4Q1/2qkp3/p7/P1PpP3/8/2P2RPP/6K1 w - - 1 39,middlegame,,35,35,0,0,3,3,836,g7d4
1N6/2k4p/4p3/5pp1/8/7P/6P1/6K1 w - - 1 53,endgame,,9,10,0,0,0,2,7,b8a6
rnb2rk1/ppppqppp/4pn2/8/1bPP4/5NP1/PP1BPP1P/RN1QKB1R w KQ - 1 6,opening,E11,78,25,0,0,3,2,41,f1g2
3r3k/p6p/6p1/8/P3p2P/4b1PK/2q2P2/8 b - - 1 39,middlegame,,25,46,0,0,0,3,-9996,c2f2
8/pp6/2p3k1/3p3N/8/1P1R4/P1n2r1r/4K3 w - - 0 37,middlegame,,27,1,1,0,2,3,-9999,e1d1
r4rk1/1p1b1p2/p3p1p1/4qnNp/3n1R1P/3B2P1/5P2/1N1Q1RK1 w - - 1 21,middlegame,,65,37,0,0,2,3,-296,b1d2
8/2n5/2P3p1/4p3/5k2/7K/8/3q4 b - - 0 69,middlegame,,15,34,0,0,0,4,-9999,d1h1
2k4r/ppp2pb1/3p1p2/3Pp3/2N1P1q1/2PK2P1/PP1r4/R7 w - - 0 25,middlegame,,43,3,1,0,4,3,-811,c4d2
8/8/8/3p1kpp/3P1P2/6K1/7P/8 w - - 0 57,endgame,,6,7,0,0,1,2,0,f4g5
8/p4p1p/1p4p1/5q1k/6b1/8/PPP4Q/6K1 b - - 1 35,middlegame,,29,2,0,1,1,3,-613,h5g5
8/8/6p1/5pKp/4p2P/6P1/5Rk1/8 b - - 0 53,endgame,,11,5,0,1,0,1,-633,g2f2
r1bqkb1r/pp3ppp/2n1pn2/2pp4/4P3/2NP2P1/PPP2PBP/R1BQK1NR w KQkq - 0 6,opening,B23,78,37,0,0,2,4,-17,f2f4
rnbq1rk1/ppp1ppbp/5np1/3p4/3P4/4PN2/PPPNBPPP/R1BQK2R w KQ - 0 6,opening,A49,78,30,0,0,3,2,0,b2b4
3r2qk/6pp/p7/2p2B1Q/4P3/1P2K3/PBP3PP/8 b - - 0 27,middlegame,,39,22,0,0,4,2,585,a6a5
8/8/8/1R6/8/3kN1P1/5K1P/1q6 w - - 0 63,middlegame,,19,27,0,0,2,2,3559,b5b1
8/7R/p1p1kR2/3b4/P5P1/2K2P2/1P6/8 b - - 0 33,middlegame,,19,2,0,1,2,3,632,e6f6
6k1/4R1np/p2r4/1p1b1r2/1Pp5/2Np3P/3P4/4R1K1 w - - 0 35,middlegame,,37,32,0,0,3,3,-603,c3d5
8/p4k1p/1p4p1/8/2P2PN1/KP6/P6P/8 w - - 1 33,endgame,,12,13,0,0,2,0,528,g4e3
8/8/4k1p1/7p/7P/4NKP1/8/8 b - - 0 42,endgame,,7,7,0,0,2,2,414,e6e5
r1bqk2r/pppnppbp/5np1/3p2B1/3P1P2/2N1P3/PPP3PP/R2QKBNR w KQkq - 1 6,opening,D01,78,40,0,0,4,3,-37,g1f3
r1bqkb1r/pp2pppp/2np1n2/8/3NP3/5P2/PPP3PP/RNBQKB1R w KQkq - 1 6,opening,B54,76,38,0,0,3,4,7,c2c4
r3rk2/pp3Q2/3bp3/2pp3P/3P4/2P2NP1/PP3P2/4RNK1 b - - 0 23,middlegame,,45,1,0,1,3,4,161,f8f7
8/1b1pn2Q/pqpk1Np1/8/2P1P3/6P1/PP5P/R4K1R w - - 1 27,middlegame,,47,33,0,0,2,3,1007,a1d1
1n3r1k/RR4B1/4q2p/8/5p2/1N3B2/5PPP/6K1 b - - 0 32,middlegame,,41,2,0,1,4,3,711,h8g8
8/3k1p1p/4p1pP/2bp2P1/5P2/1p6/2N5/1K6 w - - 0 49,middlegame,,15,10,0,0,2,3,-464,c2e1
r1bqkbnr/pp1n1ppp/2p1p3/3pN3/3PP3/8/PPP2PPP/RNBQKB1R w KQkq - 2 5,opening,B12,78,43,0,0,3,3,15,b1d2
1k1r1r2/1pp1q3/p5p1/6n1/1P4Pp/P3PN1P/1BQ2PB1/2R2R1K b - - 0 27,middlegame,,61,44,0,0,3,4,510,g5f3
8/4k1p1/5b1p/1R3p2/3P1N1P/2P2K2/1P3PP1/7r b - - 2 37,middlegame,,25,23,0,0,4,3,519,h1h4
3r4/5k1p/p5pP/1p3pq1/2p1p3/2P5/PPr2P1Q/1R3K2 w - - 0 38,middlegame,,45,23,0,0,2,3,-604,b1e1
rnbq1rk1/ppp1ppbp/3p1np1/8/2PP4/2N3P1/PP2PPBP/R1BQK1NR w KQ - 2 6,opening,A49,78,40,0,0,4,3,45,g1f3
3r2r1/k1P1b1p1/pp1p3p/4pq2/2Q1Nn2/PP6/KB6/6RR b - - 0 33,middlegame,,59,42,0,0,4,4,-269,d8c8
rnbqkb1r/pp2pppp/2p2n2/8/3P1B2/2N5/PP2PPPP/R2QKBNR w KQkq - 0 6,opening,A10,76,39,0,0,4,3,141,e2e4
rnb1kbnr/1pqp1ppp/p3p3/2p5/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 2 5,opening,A13,78,32,0,0,2,3,68,g1f3
3r3k/pp3bpp/8/5p2/2q1pb1P/1P2P1P1/PB3P2/6K1 w - - 0 31,middlegame,,35,20,0,0,2,4,-765,b3c4
3k4/4rp1p/1KBp4/6p1/P2p1b2/8/5P2/3R4 w - - 0 36,middlegame,,23,25,0,0,3,2,-11,a4a5
rnbqkbnr/ppp2pp1/7p/3p4/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,opening,C00,76,34,0,0,2,2,20,f1d3
r1bqkbnr/pp4pp/2n1p3/2ppPp2/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 1 6,opening,C02,78,35,0,0,2,4,103,f1e2
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N3P1/PP2PP1P/R1BQKBNR w KQkq - 0 5,opening,E20,78,34,0,0,4,2,12,f1g2
r4Rk1/1p2q1pp/8/1Np1n3/2P5/P3P2Q/1P1nB1PP/R5K1 b - - 0 25,middlegame,,55,3,0,1,2,3,79,a8f8
rnb1kb1r/ppp1pppp/5n2/3q4/3P4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,opening,D06,76,28,0,0,2,4,91,b1c3
rq3kr1/3n4/3N1b1Q/pP1PpN2/8/5P2/1P5P/R3K1R1 b Q - 0 25,middlegame,,57,2,0,1,2,2,9997,f6g7
8/5p1p/1p3p2/1k1b4/5PP1/2bK3P/8/8 w - - 0 49,endgame,,13,7,0,0,3,3,-544,d3c3
r1b1k2r/5p1p/p2p4/1p2pn2/8/N2Bb3/PPP1q1PP/R2K3R w kq - 0 20,middlegame,,55,2,1,0,1,2,-612,d1e2
r6r/pp2bkp1/1qp2n1p/3pnP1P/3p4/3P1QN1/P2N2P1/4RRK1 w - - 0 20,middlegame,,65,29,0,0,3,3,-226,e1e5
3q2k1/2r3pp/1b2Q1n1/4p3/3pP2P/1P1P2PB/1BP2P2/R5K1 b - - 0 27,middlegame,,51,3,0,1,4,3,448,c7f7
rnbqk2r/pp2nppp/2p1p3/3p4/1bPPP3/2N5/PP1B1PPP/R2QKBNR w KQkq - 4 6,opening,D31,78,40,0,0,3,2,67,g1f3
rnbq1rk1/pp1pppbp/5np1/2p5/3P1P2/3BPN2/PPP3PP/RNBQK2R w KQ - 0 6,opening,A45,78,40,0,0,3,3,-24,c2c3
4R3/2b2Npk/2p3r1/p1P5/6P1/3Q1P2/PP1B3q/5K2 b - - 2 34,middlegame,,45,22,0,0,4,2,1209,h2h1
rnbqk1nr/ppppp1bp/6p1/5p2/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 2 4,opening,A80,78,35,0,0,2,3,40,d1d2
1r1qk3/p3bpp1/1p4nr/2ppPb1p/3P4/2P4Q/P2N2PB/1R3RK1 w - - 0 26,middlegame,,65,39,0,0,3,4,180,h3f5
r1bqkbnr/pp1ppppp/8/2p5/2B1P3/5n2/PPPP1PPP/RNBQK2R w KQkq - 0 5,opening,B30,75,4,1,0,1,2,26,d1f3
3r1r1k/ppp3pp/8/2P4q/1P1N2n1/P5Pb/1Q1NPPBP/3R1RK1 b - - 0 21,middlegame,,65,42,0,0,3,3,166,h3g2
4k2r/3r4/pp1pp3/4n1P1/2PQP3/1PN3P1/P4RBq/5RK1 w k - 1 32,middlegame,,57,0,1,0,3,2,-10000,
rnb3k1/pp3pp1/7p/2p5/8/2PB1rq1/PP1N3N/R2Q3K w - - 0 20,middlegame,,57,37,0,0,2,2,34,d1f3
2r4k/p4Rp1/1pq5/4b3/2P1P3/1Q5P/1P3PP1/3R2K1 b - - 0 28,middlegame,,45,40,0,0,2,3,550,h8h7
1r4qr/3nkp2/3Np2n/Q1P1P3/3P1Rpp/1P2P3/P5PP/5RK1 b - - 0 25,middlegame,,59,30,0,0,3,2,505,h4h3
6k1/ppp3bp/3p4/1PnP4/PNP1b3/8/6rK/6R1 w - - 0 32,middlegame,,31,3,1,0,1,4,-670,g1g2
7r/2q1k1p1/1p2pn2/1QpN4/2Pr4/4p2p/1P4P1/R4RK1 b - - 1 28,middlegame,,53,7,0,1,1,4,-556,e6d5
5r2/4NNp1/7k/4P2p/2B3b1/8/1r3PPP/4R1K1 b - - 0 32,middlegame,,33,2,0,1,3,0,550,f8f7
8/7p/1R3P2/4p2b/p2pPk2/1p1r4/8/1K6 w - - 0 52,middlegame,,20,13,0,0,1,3,-601,b6b7
rnbqkbnr/pp2pppp/8/2pp4/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 0 3,opening,B22,78,32,0,0,2,3,31,e4d5
4r1k1/5p1p/4b1p1/1qpp2Q1/8/5P2/2B3PP/r3R1K1 w - - 0 27,middlegame,,47,36,0,0,3,3,-502,e1a1
7r/p1p3k1/1p2pqpr/3b1pR1/3Q1P2/2P5/PKP5/6R1 b - - 1 28,middlegame,,51,36,0,0,4,4,-609,f6d4
7r/8/3RNkb1/3Pn3/1P2p1p1/6P1/P4PK1/3R4 b - - 0 44,middlegame,,31,29,0,0,2,2,308,f6e7
1rk2b1r/4p1pp/p1R5/8/3q4/1P1P3P/P1P1QPP1/1RB3K1 b - - 0 20,middlegame,,55,3,0,1,2,3,650,c8d8
2kr1b1r/ppp2ppp/4pn2/6q1/8/N1P3P1/PP2Q2P/R4RK1 w - - 0 15,middlegame,,59,43,0,0,3,4,-644,a3c4
r4nk1/4r2p/NR1p2p1/p1pPp3/P1P3P1/2P2P2/3QB2P/1R4K1 b - - 0 31,middlegame,,51,23,0,0,3,2,813,e7a7
r1bqk1nr/pp1pppbp/2n3p1/2p5/2P5/2NP1N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,opening,A35,78,34,0,0,4,2,-3,g2g3
1r1k3r/R4Rbp/1n3p2/3p4/1p1P4/3BPN1P/PP3PP1/6K1 b - - 0 20,middlegame,,43,19,0,0,3,3,622,g7f8
8/1b3pk1/p7/1p6/1P1pP2P/3P2p1/r1B1Kr2/8 w - - 0 38,middlegame,,25,2,1,0,2,2,-9997,e2e1
r4rk1/1p4p1/2pp1p1p/p3p2R/2q1P1Q1/4PR1P/1P4P1/6K1 w - - 0 28,middlegame,,51,28,0,0,4,4,107,f3g3
8/1p6/1kp5/6p1/1bB5/1K4r1/2R5/8 w - - 0 48,middlegame,,19,6,1,0,1,1,-28,b3b4
8/8/8/5r2/1k3P1P/6PK/p7/8 w - - 0 64,endgame,,9,5,0,0,1,2,-718,h3g4
1r4k1/4qpbp/6p1/3QB3/1P2p3/P2nP3/4BPPP/3R1RK1 b - - 0 25,middlegame,,55,42,0,0,3,1,470,g7e5
r3kb1r/ppp2ppp/1n3nb1/q4p2/4p1P1/1BN1B3/PPP1Q2P/2KR2NR w kq - 0 14,middlegame,,75,47,0,0,3,3,-116,c3b5
7k/8/2r5/5NK1/1rP3PP/2R5/8/8 b - - 0 52,middlegame,,21,22,0,0,2,0,5,c6c4
8/1p6/p3k1pp/2Kp4/1P5r/P5R1/8/8 w - - 0 44,middlegame,,17,14,0,0,2,4,-160,c5b6
7k/p4Q2/6Np/8/4nP2/7P/P5PK/8 b - - 0 37,middlegame,,21,0,0,1,2,0,10000,
rnbqnrk1/ppppppbp/6p1/8/2P5/2NP2P1/PP2PPBP/R1BQK1NR w KQ - 3 6,opening,A10,78,39,0,0,2,2,52,d3d4
4rrk1/3q2bp/3p2p1/1p1P2B1/p3R3/2P2N2/PP3PPP/R2Q2K1 w - - 1 23,middlegame,,59,51,0,0,3,3,570,e4e8
2kr4/pp5p/2p5/2b2p1P/2B3p1/1P4N1/Pr6/4R2K w - - 2 29,middlegame,,33,30,0,0,3,3,-617,c4e6
1rr3k1/5Ppp/p4n2/q3p2P/1b4P1/1PN1BP2/P1Q1N3/1K1R3R b - - 0 23,middlegame,,63,3,0,1,3,4,442,g8f7
2r2r1k/5ppn/1R6/2Pp3N/3PpPn1/2B1P3/PQ3P1P/3q1BK1 b - - 0 38,middlegame,,59,36,0,0,2,3,0,g4h2
rnbqkb1r/ppp1pppp/5n2/6N1/4p3/8/PPPP1PPP/RNBQKB1R w KQkq - 2 4,opening,A06,77,33,0,0,1,3,-46,f1c4
8/5p1p/5Ppk/p7/1b2P3/1K6/7r/5R2 w - - 1 37,middlegame,,19,14,0,0,1,0,-566,e4e5
7r/2pk1p2/p1R3p1/8/3rp2P/1P2P1KB/P4n2/4n3 b - - 1 34,middlegame,,33,7,0,1,1,2,-971,d7c6
3r4/1kp4p/p4np1/1p3p2/8/PPr3PP/2P2K2/5R2 w - - 0 29,middlegame,,29,15,0,0,0,3,-984,f2e2
5nk1/8/4p1p1/3pq1P1/8/7B/2r5/5R1K w - - 0 45,middlegame,,29,18,0,0,0,3,-9994,h3g2
r1bqk1nr/pp1pppbp/2n3p1/2p5/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq - 4 5,opening,A10,78,27,0,0,3,2,4,b1c3
1b6/5p2/8/2p1p1K1/2P5/p3N3/P5k1/7q b - - 1 56,middlegame,,21,6,0,1,1,2,-692,g2f3
2r2rk1/p4p1p/1p2p1p1/4P3/2n2qP1/2N2R1Q/7P/5BK1 b - - 1 31,middlegame,,51,40,0,0,2,4,-596,f4e5
r2q1r2/4b2k/2pp1n1p/4B1p1/4P3/2N1Q3/PPP2PPP/2KR3R b - - 2 18,middlegame,,61,35,0,0,3,3,-304,f6g4
3r4/2q3p1/1p1bp2k/p1p2p1p/2P1bP2/P1Q3PP/1B3N1K/8 w - - 0 34,middlegame,,47,25,0,0,4,4,-406,f2e4
2b5/k7/P1Pr2p1/3PR3/2B4p/8/6PP/6K1 b - - 0 38,middlegame,,23,18,0,0,2,1,466,c8a6
8/5ppk/8/2np4/1p3PP1/P7/1P3K2/8 b - - 0 37,endgame,,11,19,0,0,1,1,-418,b4a3
r5k1/6pp/3q1p2/2p1p3/1bP5/4P1P1/5Pb1/3R2K1 w - - 0 31,middlegame,,34,16,0,0,2,4,-740,d1d6
r2q1b1k/ppp4p/3p3n/4p2N/7P/2P2r2/PPQ5/2K3RR w - - 2 23,middlegame,,57,38,0,0,2,2,-446,c2g2
3r3k/p6p/1pq2p2/2P2Np1/8/6PP/P1QB2P1/R4R1K b - - 0 26,middlegame,,49,35,0,0,2,4,984,c6c5
2k1r2b/1ppq1p2/p2p1np1/5b2/3P4/P1N1nP2/1PPQN3/2K3R1 w - - 2 24,middlegame,,57,28,0,0,4,3,-683,e2g3
rnbqkbnr/ppp2ppp/4p3/3p4/4PP2/5N2/PPPP2PP/RNBQKB1R w KQkq - 0 4,opening,C00,78,31,0,0,3,2,26,e4e5
8/BNbk3p/2p1p3/4P3/5P2/P7/1PK4P/8 w - - 1 32,middlegame,,17,24,0,0,2,2,557,b7c5
rnbqk1nr/pp1pppbp/2p3p1/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,opening,A40,78,32,0,0,3,3,61,e2e4
rnbqk2r/p1pp1pp1/1p2pn1p/6B1/1bPPP3/2N5/PP3PPP/R2QKBNR w KQkq - 0 6,opening,E20,78,39,0,0,4,2,-17,g5d2
2b5/8/1p3k2/1Pp3p1/2Pp2P1/3B2K1/8/8 b - - 0 63,endgame,,13,11,0,0,2,2,-425,f6e5
rnbqkb1r/pp2pppp/5n2/2p5/2P5/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 5,opening,A56,76,35,0,0,3,3,95,d1d8
6k1/1p3p1p/6p1/3pK2r/Pq1N4/8/8/Q2R4 w - - 2 38,middlegame,,37,3,1,0,3,3,-354,e5f4
2r5/1P6/8/1K4pp/5p2/5P1P/5kP1/8 w - - 0 69,endgame,,12,16,0,0,1,0,381,b7c8q
r1bqkbnr/ppp2ppp/2np4/8/2B1P3/5N2/PPPP3p/RNBQ1R1K b kq - 1 7,middlegame,,75,34,0,0,3,2,-235,g8f6
8/1K4p1/2rr1k2/6p1/8/8/8/8 w - - 0 52,endgame,,12,3,0,0,0,3,-9997,b7a7
8/1p6/1r3p1R/pP1p2p1/P2P3p/4K1k1/8/8 w - - 2 42,middlegame,,19,9,0,0,3,2,-572,e3d3
rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/3B1N2/PPP2PPP/RNBQK2R w KQkq - 2 5,opening,B07,78,38,0,0,4,3,40,b1c3
6k1/pp3pp1/2p4p/3p4/1P6/2r3P1/P5PK/4R3 b - - 1 28,middlegame,,21,24,0,0,2,2,-563,g8f8
4k3/5p2/4nPp1/R5P1/2P5/1P3K2/P7/8 w - - 1 56,middlegame,,15,21,0,0,3,1,660,f3g4
rnbqk2r/pp2ppbp/2pp1np1/8/3PP3/2N1BP2/PPP3PP/R2QKBNR w KQkq - 1 6,opening,B07,78,39,0,0,4,3,54,d1d2
4k3/3r4/1pq1p1p1/4P3/p2P4/1K3N1p/PP1b4/8 w - - 0 37,middlegame,,29,1,1,0,2,3,-1746,b3a3
3r1r2/R5pk/1p1q3p/3B1b2/1PPQ4/6P1/4PP1P/3R2K1 b - - 0 27,middlegame,,53,38,0,0,4,3,481,d6g6
3r1k2/p1N2n1p/3pQRq1/8/4P3/6P1/PPP4P/7K b - - 0 25,middlegame,,43,22,0,0,3,2,591,g6g7
6k1/6p1/1p1Br1n1/3pP2p/6rP/5R2/7K/8 b - - 1 41,middlegame,,27,26,0,0,1,3,-707,g6e5
1r4rk/p1p2p1p/2p2p2/3p1N2/5P2/1P4P1/q6P/1NQ2K2 w - - 0 24,middlegame,,45,27,0,0,2,3,-496,b1d2
8/8/p3k1p1/5p1p/5P2/3P3P/2P2KP1/8 b - - 1 41,endgame,,9,9,0,0,2,3,201,e6d5
8/6k1/p2R4/6P1/7P/1B6/P5K1/5r2 b - - 0 48,middlegame,,17,18,0,0,2,0,686,f1f4
2rq1rk1/p2bn1bp/3Q2p1/3Ppp2/4P3/1BN1BN2/PP3PPP/R4RK1 b - - 0 16,middlegame,,71,33,0,0,4,4,595,f5f4
rnbqkbnr/pp2pppp/8/2pp4/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3,opening,A30,78,24,0,0,3,3,55,c4d5
1k1r3r/pbnp1pbp/1p1qp1p1/2p5/Q1P2PP1/P3B3/1P1NBK2/1R4R1 w - - 2 25,middlegame,,69,39,0,0,4,4,-435,d2f3
rnbqkb1r/ppp2ppp/4pn2/4N3/4p3/3P4/PPP2PPP/RNBQKB1R w KQkq - 0 5,opening,A06,77,38,0,0,1,3,-85,b1c3
rnbqkbnr/ppp3pp/5p2/4N3/4pP2/8/PPPP2PP/RNBQKB1R w KQkq - 0 5,opening,C31,76,35,0,0,1,3,185,d1h5
5k2/r6R/6p1/8/8/5PK1/6P1/8 w - - 0 38,endgame,,13,21,0,0,1,0,655,h7a7
r1bqk2r/ppp2ppp/2np1n2/2b1p3/4P3/3P1N2/PPPNBPPP/R1BQK2R w KQkq - 0 6,opening,C42,78,26,0,0,4,4,-25,e1g1
rnbqkb1r/pp3ppp/3ppn2/8/3pPP2/2N2N2/PPP3PP/R1BQKB1R w KQkq - 0 6,opening,B82,77,37,0,0,4,3,41,f3d4
8/5N2/6p1/1k3p1p/1P2p2P/2K1P1P1/5P2/8 w - - 1 58,endgame,,12,14,0,0,2,1,583,f7e5
6k1/pp3ppn/8/6Pp/2q5/2B2Pr1/5R2/4RK2 w - - 0 28,middlegame,,37,2,1,0,3,3,-715,e1e2
2k3r1/pp6/2b4B/2br1P2/8/1BP5/P5PP/R4R1K b - - 0 26,middlegame,,39,41,0,0,2,3,-182,d5d2
rr4k1/5Rpp/2RN4/p3P3/5P2/4b1P1/PP4BP/3b3K b - - 0 35,middlegame,,41,34,0,0,3,1,367,d1h5
r1bqkbnr/ppnppppp/2p5/8/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 3 4,opening,A11,78,28,0,0,2,1,66,d2d4
8/6p1/2k5/1rp3P1/P1K4P/3P4/8/8 b - - 0 47,endgame,,11,14,0,0,3,2,-646,b5b4
