fen,phase,eco,material,mobility,white_king_safety,black_king_safety,white_center_control,black_center_control,evaluation_cp,best_move
rnbqkb1r/pp4pp/2p1pn2/3p1p2/3P4/3BPN2/PPP2PPP/RNBQ1RK1 w kq - 0 6,opening,A80,78,31,0,0,3,2,38,c2c4
3rk1r1/pp4pp/3B4/8/4P3/8/PP3PPP/1R3RK1 b - - 0 15,middlegame,,33,17,0,0,2,0,397,d8d6
rnbqkb1r/p3pppp/1p1p1n2/2p5/3P1P2/3BP3/PPP3PP/RNBQK1NR w KQkq - 0 5,opening,A45,78,39,0,0,3,4,34,d4d5
1Q6/p5K1/3B4/1k5p/7P/6P1/P7/8 b - - 0 53,middlegame,,17,5,0,1,1,0,761,b5c6
Bnkq1b1r/p5p1/5n1p/2p2P2/Q1Pp1B2/8/PP3PPP/RN3RK1 b - - 0 17,middlegame,,63,29,0,0,3,3,758,d8d7
8/pp3p1p/5k2/3p4/5PB1/1P2K3/P6P/8 w - - 0 36,endgame,,12,21,0,0,3,2,459,g4f3
3rr2k/R6p/4B1p1/3P2b1/1p6/2R1P2P/PP4P1/6K1 w - - 0 30,middlegame,,35,40,0,0,2,1,371,c3b3
8/8/p3k1p1/5p1p/5P2/3P3P/2P3P1/6K1 w - - 0 41,endgame,,9,10,0,0,2,3,181,g1f2
r1bq1rk1/1p1pppb1/5npp/3n4/4P1PB/p4N1P/P2Q1PB1/2KR3R b - - 0 15,middlegame,,71,31,0,0,3,2,-699,f6e4
6k1/4qpp1/3b3p/8/2pPRPP1/2P4P/1P3Q2/2B3K1 b - - 0 35,middlegame,,39,28,0,0,2,2,68,e7e4
rnbqkbnr/ppp1pp1p/3p2p1/8/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3,opening,B07,78,30,0,0,2,1,63,d2d4
rnbqk2r/p1pp1ppp/1p2pn2/8/2PP4/P1b5/1PQ1PPPP/R1B1KBNR w KQkq - 0 6,opening,E32,75,5,1,0,3,3,4,c2c3
8/p5pk/7p/1r1K4/3Pn3/8/6PP/1q6 w - - 2 41,middlegame,,23,3,1,0,3,2,-897,d5e6
5r2/1b3rp1/p3p1k1/1pQ3b1/8/2P2P2/PP6/3nK1R1 w - - 0 29,middlegame,,41,34,0,0,4,2,41,c5g5
r1bqk2r/pppnbppp/3p1n2/4p3/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 1 6,opening,A55,78,38,0,0,4,4,79,f1d3
2k2r1r/1Bpp1q2/1p2p1n1/3nP1P1/3P1p1P/2P3B1/1P1N1QP1/R4RK1 b - - 0 22,middlegame,,65,3,0,1,4,2,258,c8b7
r5k1/5Npp/p7/1p6/8/6nq/PPK3R1/8 w - - 2 33,middlegame,,31,23,0,0,1,1,-692,g2g3
rnbq1rk1/ppppppbp/5np1/8/8/1P3NP1/PBPPPP1P/RN1QKB1R w KQ - 1 5,opening,A01,78,29,0,0,2,2,10,f1g2
7k/p2n3p/1p1p3p/2pPp3/1P2P3/P2b1r2/5P2/1R2K2R b - - 1 30,middlegame,,33,28,0,0,1,3,-710,d3b1
8/p6p/5k2/4bp2/5P2/6P1/PP5P/7K b - - 0 39,endgame,,11,16,0,0,1,3,-425,e5b2
4rbk1/3B3p/4p3/q2N1pp1/3P4/1Q2P2P/1P3PP1/3R2K1 b - - 0 25,middlegame,,47,38,0,0,3,2,665,a5d5
8/r1p3r1/p1R2p2/Pp1PNR1k/1P2P2P/6P1/8/6K1 b - - 2 37,middlegame,,33,2,0,1,2,1,691,h5h6
5q1k/8/p4p1p/1p2P3/4K1Q1/4P1P1/7r/5b2 w - - 0 37,middlegame,,33,22,0,0,4,1,-843,e5f6
rn1qkbnr/pp2pppp/2p5/3p4/3P2b1/4PN2/PPP2PPP/RNBQKB1R w KQkq - 1 4,opening,D02,78,30,0,0,2,2,33,c2c4
3r4/1k2bp2/2p2p2/p6P/P4B2/4PKP1/2p1q3/8 w - - 0 43,middlegame,,29,2,1,0,3,3,-783,f3e2
8/p7/8/4p3/8/3pk3/PP5P/4K3 b - - 1 53,endgame,,6,8,0,0,0,2,-668,d3d2
8/4N3/pB1Pq1pk/p1P1Q2p/7P/4R1P1/1P5K/8 b - - 0 45,middlegame,,38,18,0,0,4,2,1440,e6g8
rnbqkbnr/pp3ppp/2p1p3/8/2pP4/4PN2/PP3PPP/RNBQKB1R w KQkq - 0 5,opening,D21,77,31,0,0,2,2,80,f1c4
1rk1qN2/2p3p1/p3p3/3pPp1B/bn1P1N1P/5R2/1PPQ1PP1/2KR4 b - - 0 24,middlegame,,61,29,0,0,3,2,561,e8f8
r2q1rk1/nb4pp/pp6/4P3/1P1N1P2/P5P1/1B1NQ2P/R4RK1 b - - 0 23,middlegame,,63,37,0,0,3,3,633,a7b5
r1bqkbnr/pp3ppp/2np4/2p1p3/4PP2/2NP4/PPP3PP/R1BQKBNR w KQkq - 1 5,opening,C20,78,31,0,0,3,2,18,f1e2
7k/pp5r/2p1qpQB/3n1N2/3b4/8/P5rP/5R1K w - - 0 38,middlegame,,51,39,0,0,1,3,0,g6g2
r1b1k2r/4np1p/2p1p1p1/2Np4/8/qBb1P1B1/1p3PPP/1R1Q1RK1 w kq - 2 20,middlegame,,67,39,0,0,4,4,-296,d1c2
8/2p1R3/p3Q3/P7/6P1/2k5/5KP1/8 w - - 1 44,middlegame,,19,36,0,0,3,1,4150,e7c7
8/7p/3bk1p1/8/5P2/4BKP1/7P/8 w - - 1 47,endgame,,11,17,0,0,3,2,6,g3g4
8/R7/8/4N1pk/5P1p/7P/6PK/8 b - - 0 61,endgame,,13,3,0,0,1,0,690,g5f4
7k/pp2RQ2/2p3rp/8/3P3P/2P5/PP1K1P2/8 w - - 1 44,middlegame,,29,40,0,0,4,1,9999,f7h7
6k1/5pp1/1p1r3p/3p4/1P6/7P/8/2R3K1 w - - 0 34,middlegame,,17,19,0,0,0,2,-460,c1c8
8/p1p4p/1p6/6pk/1PP2n1P/4RK2/6r1/8 w - - 2 44,middlegame,,21,15,0,0,3,1,-408,h4g5
8/3k1p2/2p1p3/1p1pPp2/pP3P2/P1P4K/8/8 b - - 0 34,endgame,,12,8,0,0,2,2,-419,c6c5
r1bqkbnr/pp2pppp/2np4/2p5/4P3/2N3P1/PPPP1P1P/R1BQKBNR w KQkq - 1 4,opening,B26,78,33,0,0,2,2,2,f1g2
rnbqkb1r/ppp2ppp/3pp1n1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 3 5,opening,A04,78,35,0,0,4,2,127,h2h4
1k2rr2/2p5/1pP5/p7/Pn1P2QP/4P1P1/5P2/1R4K1 b - - 2 37,middlegame,,37,24,0,0,3,3,526,b4d3
8/1r5k/3R2pp/1P1P4/8/7P/5PP1/6K1 w - - 1 39,middlegame,,17,17,0,0,1,0,507,b5b6
2r5/R1p3kp/5np1/4R3/2P5/BBn2P2/P1P2P1P/2Kr4 w - - 1 22,middlegame,,41,1,1,0,2,3,472,c1b2
4r3/5ppk/5n1p/4pN2/4P1q1/b4P2/1p1NK3/1R2Q3 b - - 0 40,middlegame,,47,37,0,0,3,4,-544,g4g2
r6k/1Q4p1/7p/8/7P/8/1PP3P1/1K2R3 b - - 0 44,middlegame,,25,18,0,0,3,0,633,a8d8
6K1/8/5k1P/p4p2/1pp5/8/P7/8 b - - 0 56,endgame,,6,9,0,0,0,2,288,f6e5
